order_id,client_id,product_id,product_price,product_quantity,date
1234,999,490756,50.0,1,2001-01-20 00:00:00
1234,999,389728,3.56,4,2001-01-20 00:00:00
3456,845,490756,50.0,2,2001-01-20 00:00:00
3456,845,549380,300.0,1,2001-01-20 00:00:00
3456,845,293718,10.0,6,2001-01-20 00:00:00
5678,555,1234,25.0,3,2022-10-15 09:30:00
9876,654,3456,12.34,5,2022-12-31 23:59:59
9876,123,3456,9.99,7,2023-05-18 14:30:00
9999,777,1234,15.99,2,2023-08-01 10:45:00
1234,789,3456,19.99,4,2024-03-10 15:00:00
1111,888,5678,99.99,10,2025-07-22 12:00:00
9876,456,3456,14.99,3,2023-10-15 09:15:00
1357,246,1234,12.99,5,2023-12-05 16:20:00
5555,999,3456,29.99,8,2022-11-20 14:30:00
2468,987,1234,15.0,6,2023-09-01 10:45:00
1234,5678,490756,50.0,8,2024-05-10 15:45:00
13579,24680,490756,39.99,10,2023-05-01 12:00:00
2468,987,389728,25.0,4,2022-10-15 09:15:00
12345,9876,389728,14.99,3,2022-12-31 18:00:00
13579,54321,389728,20.99,5,2023-08-12 14:30:00
98765,13579,490756,99.99,20,2025-07-20 17:30:00
24680,13579,385012,10.99,8,2024-03-10 08:45:00
13579,24680,490756,15.99,2,2023-06-01 10:30:00
123456,24680,490756,29.99,10,2026-05-15 09:15:00
7654321,9876543,389728,14.99,3,2023-09-18 12:45:00
